Clean_review,Label
insults profound deuchebaggery go outside smoke break serving just solidify,0
orders tacos dont think customer service ask combo ala cart,0
quite disappointed some blame needs placed door,0
all rave reviews wait eat herewhat disappointment,0
del taco pretty nasty should avoided possible,0
not hard make decent hamburger,0
dont like,0
hell no go back,0
weve have gotten much better service pizza place next door services received restaurant,0
dont know big deal place wont back yaall,0
immediately said wanted talk manager did not want talk guy doing shots fireball bar,0
ambiance isnt much better,0
unfortunately set up disapppointment entrees,0
food wasnt good,0
servers suck wait correction server heimer sucked,0
happened next prettyoff putting,0
too bad cause know family owned really wanted like place,0
overpriced getting,0
vomited bathroom mid lunch,0
kept looking time soon become minutes no food,0
have few places eat no circumstances would return tops list,0
started tuna sashimi brownish color obviously wasnt fresh,0
food average,0
sure does beat nachos movies would expect little bit coming restaurant,0
all all ha long bay bit flop,0
problem have charge sandwich no bigger subway sub offers better vegetables,0
shrimp unwrapped live mile brushfire literally ice cold,0
lacked flavor undercooked dry,0
really impressive place closed down,0
would avoid place staying mirage,0
refried beans came meal dried crusty food bland,0
spend money time some place,0
lady table next live green caterpillar salad,0
presentation food awful,0
tell disappointed,0
think food should have flavor texture lacking,0
appetite instantly gone,0
overall not impressed would not go back,0
experience underwhelming think just go ninja sushi next time,0
hadnt wasted enough life poured salt wound drawing time took bring check,0
